continent,location,gdp_per_capita,Asia,Europe,NorthAmerica,SouthAmerica,Africa,Oceania
Asia,Afghanistan,1803.987,1,0,0,0,0,0
Europe,Albania,11803.431,0,1,0,0,0,0
Africa,Algeria,13913.839,0,0,0,0,1,0
Europe,Andorra,,0,1,0,0,0,0
Africa,Angola,5819.495,0,0,0,0,1,0
North America,Antigua and Barbuda,21490.943,0,0,1,0,0,0
South America,Argentina,18933.907,0,0,0,1,0,0
Asia,Armenia,8787.58,1,0,0,0,0,0
Oceania,Australia,44648.71,0,0,0,0,0,1
Europe,Austria,45436.686,0,1,0,0,0,0
Asia,Azerbaijan,15847.419,1,0,0,0,0,0
North America,Bahamas,27717.847,0,0,1,0,0,0
Asia,Bahrain,43290.705,1,0,0,0,0,0
Asia,Bangladesh,3523.984,1,0,0,0,0,0
North America,Barbados,16978.068,0,0,1,0,0,0
Europe,Belarus,17167.967,0,1,0,0,0,0
Europe,Belgium,42658.576,0,1,0,0,0,0
North America,Belize,7824.362,0,0,1,0,0,0
Africa,Benin,2064.236,0,0,0,0,1,0
Asia,Bhutan,8708.597,1,0,0,0,0,0
South America,Bolivia,6885.829,0,0,0,1,0,0
Europe,Bosnia and Herzegovina,11713.895,0,1,0,0,0,0
Africa,Botswana,15807.374,0,0,0,0,1,0
South America,Brazil,14103.452,0,0,0,1,0,0
Asia,Brunei,71809.251,1,0,0,0,0,0
Europe,Bulgaria,18563.307,0,1,0,0,0,0
Africa,Burkina Faso,1703.102,0,0,0,0,1,0
Africa,Burundi,702.225,0,0,0,0,1,0
Asia,Cambodia,3645.07,1,0,0,0,0,0
Africa,Cameroon,3364.926,0,0,0,0,1,0
North America,Canada,44017.591,0,0,1,0,0,0
Africa,Cape Verde,6222.554,0,0,0,0,1,0
Africa,Central African Republic,661.24,0,0,0,0,1,0
Africa,Chad,1768.153,0,0,0,0,1,0
South America,Chile,22767.037,0,0,0,1,0,0
Asia,China,15308.712,1,0,0,0,0,0
South America,Colombia,13254.949,0,0,0,1,0,0
Africa,Comoros,1413.89,0,0,0,0,1,0
Africa,Congo,4881.406,0,0,0,0,1,0
