Andorra,7141,,,
United Arab Emirates,10974,,,
Afghanistan,9984,,,
Antigua and Barbuda,5720,,,
Anguilla,5541,,,
Albania,8088,,,
Armenia,8983,,,
Angola,13116,,,
Antarctica,15538,,,
Argentina,11259,,,
American Samoa,9825,,,
Austria,7253,,,
Australia,14152,,,
Aruba,5763,,,
Aland Islands,6248,,,
Azerbaijan,9031,,,
Bosnia and Herzegovina,7721,,,
Barbados,6214,,,
Bangladesh,11001,,,
Belgium,6563,,,
Burkina Faso,9772,,,
Bulgaria,8130,,,
Bahrain,10618,,,
Burundi,12987,,,
Benin,10273,,,
Saint Barthelemy,5585,,,
Bermuda,4142,,,
Brunei,12307,,,
Bolivia,8985,,,
"Bonaire, Saint Eustatius and Saba",5877,,,
Brazil,9305,,,
Bahamas,4171,,,
Bhutan,10579,,,
Bouvet Island,15758,,,
Botswana,14548,,,
Belarus,7113,,,
Cocos Islands,14735,,,
Democratic Republic of the Congo,12640,,,
Central African Republic,11550,,,
Republic of the Congo,11949,,,
Switzerland,7056,,,
Ivory Coast,9973,,,
Cook Islands,9952,,,
Chile,10726,,,
Cameroon,11024,,,
China,9386,,,
Colombia,6396,,,
Costa Rica,5519,,,
Cuba,4508,,,
Cape Verde,8169,,,
Curacao,5843,,,
Christmas Island,14229,,,
Cyprus,9179,,,
Czech Republic,7071,,,
Germany,6751,,,
Denmark,6255,,,
Dominica,5902,,,
Dominican Republic,5132,,,
Algeria,8475,,,
Ecuador,6930,,,
Estonia,6548,,,
Egypt,9944,,,
Western Sahara,8000,,,
Eritrea,11481,,,
Spain,7066,,,
Ethiopia,12141,,,
Finland,6246,,,
Fiji,10777,,,
Falkland Islands,12745,,,
Micronesia,9707,,,
Faroe Islands,5162,,,
France,6841,,,
Gabon,11768,,,
United Kingdom,5807,,,
Grenada,6207,,,
French Guiana,7456,,,
Guernsey,6336,,,
Ghana,10206,,,
Gibraltar,7359,,,
Greenland,3340,,,
Gambia,8834,,,
Guinea,9498,,,
Equatorial Guinea,11458,,,
Greece,8358,,,
South Georgia and the South Sandwich Islands,13819,,,
Guam,9894,,,
Guinea-Bissau,8992,,,
Guyana,7062,,,
Hong Kong,10490,,,
Heard Island and McDonald Islands,19676,,,
Honduras,4861,,,
Croatia,7508,,,
Haiti,5009,,,
Hungary,7476,,,
Indonesia,12886,,,
Ireland,5748,,,
Israel,9650,,,
Isle of Man,5851,,,
India,11469,,,
British Indian Ocean Territory,14588,,,
Iraq,9682,,,
Iran,9988,,,
Iceland,4475,,,
Italy,7705,,,
Jersey,6379,,,
Jamaica,4876,,,
Jordan,9744,,,
Japan,8083,,,
Kenya,13000,,,
Kyrgyzstan,9191,,,
Cambodia,11842,,,
Kiribati,7541,,,
Comoros,14422,,,
Saint Kitts and Nevis,5639,,,
North Korea,8153,,,
South Korea,8579,,,
Kosovo,7974,,,
Kuwait,10196,,,
Cayman Islands,4596,,,
Kazakhstan,8417,,,
Laos,11142,,,
Lebanon,9390,,,
Liechtenstein,7081,,,
Sri Lanka,12868,,,
Liberia,9840,,,
Lesotho,15414,,,
Lithuania,6847,,,
Latvia,6702,,,
Libya,9420,,,
Morocco,7653,,,
Monaco,7304,,,
Moldova,7757,,,
Montenegro,7905,,,
Saint Martin,5555,,,
Madagascar,15298,,,
Marshall Islands,8836,,,
Macedonia,8104,,,
Mali,9132,,,
Myanmar,11086,,,
Mongolia,8223,,,
Macao,10532,,,
Northern Mariana Islands,9688,,,
Mauritania,8407,,,
Montserrat,5730,,,
Malta,8353,,,
Mauritius,15818,,,
Maldives,13554,,,
Malawi,14186,,,
Malaysia,12827,,,
Mozambique,14781,,,
Namibia,14244,,,
New Caledonia,11805,,,
Norfolk Island,12398,,,
Nigeria,10657,,,
Nicaragua,5142,,,
Netherlands,6454,,,
Norway,5850,,,
Nepal,10564,,,
Nauru,9853,,,
Niue,10238,,,
New Zealand,13064,,,
Oman,11221,,,
Peru,7816,,,
French Polynesia,9140,,,
Papua New Guinea,11803,,,
Philippines,11145,,,
Pakistan,10387,,,
Poland,7005,,,
Saint Pierre and Miquelon,3525,,,
Pitcairn,9190,,,
Puerto Rico,5359,,,
Palestinian Territory,9571,,,
Portugal,6918,,,
Palau,11030,,,
Paraguay,9928,,,
Qatar,10709,,,
Romania,7792,,,
Serbia,7839,,,
Russia,6644,,,
Rwanda,12841,,,
Saudi Arabia,10718,,,
Solomon Islands,11113,,,
Seychelles,14072,,,
Sudan,11353,,,
South Sudan,12012,,,
Sweden,6214,,,
Singapore,13068,,,
Slovenia,7400,,,
Svalbard and Jan Mayen,4761,,,
Slovakia,7338,,,
Sierra Leone,9508,,,
Senegal,8790,,,
Somalia,12755,,,
Suriname,7304,,,
Sao Tome and Principe,11386,,,
El Salvador,4939,,,
Sint Maarten,5559,,,
Syria,9386,,,
