Country of Citizenship,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,--,0,0,0,0,0,--,0,--,--,--,--,--,--,--,--,--,5,--,--,--
Aland Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0
Albania,--,--,--,--,5,10,5,25,55,50,35,30,25,60,60,40,35,35,35,70,110
Algeria,10,10,15,10,10,25,20,25,40,35,30,35,30,40,35,15,15,10,30,60,100
Andorra,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,--,0,0,0
Angola,0,0,0,0,10,15,--,--,0,0,--,--,--,--,--,0,--,--,--,--,--
Antigua and Barbuda,--,--,--,--,--,--,5,20,20,15,5,15,15,15,20,20,10,15,15,10,20
Argentina,55,90,130,155,135,120,135,145,160,120,90,70,80,80,75,55,65,80,95,110,95
Armenia,10,30,35,45,30,45,45,45,40,30,15,20,15,20,20,15,--,--,--,5,10
Australia,655,840,875,870,895,895,990,"1,245","1,240","1,060",780,650,635,710,595,415,355,340,375,335,270
Austria,55,65,65,55,50,55,90,135,185,160,105,90,110,135,120,100,60,65,85,80,60
Azerbaijan,--,--,0,0,0,--,--,0,--,--,--,--,--,5,5,5,--,--,5,10,10
"Bahama Islands, The",10,10,10,10,10,5,5,10,15,20,20,15,20,15,5,5,--,5,--,5,10
Bahrain,10,15,25,20,20,20,25,20,15,15,10,5,--,--,--,--,--,0,0,--,--
Bangladesh,15,20,20,20,25,25,30,65,90,80,70,85,100,125,135,85,55,55,50,50,80
Barbados,20,30,35,35,50,60,165,210,200,120,105,60,90,190,120,50,30,30,65,75,65
Belarus,20,30,30,20,20,15,30,40,70,65,45,25,25,35,30,15,15,20,30,30,35
Belgium,105,110,105,110,105,130,150,150,190,235,205,195,205,275,240,185,215,160,160,175,180
Belize,--,--,--,--,--,--,--,5,25,30,10,10,5,45,60,15,--,--,--,20,15
"Benin, Republic of",--,5,--,0,0,0,--,--,5,--,--,--,--,5,5,--,--,--,--,5,5
Bhutan,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--
Bolivia,--,10,10,10,10,5,10,25,20,15,15,15,15,20,25,15,10,10,10,15,20
Bosnia Herzegovina,5,--,--,5,15,15,25,85,120,120,65,40,40,105,130,65,45,35,40,40,50
Botswana,--,--,--,--,--,--,--,10,5,--,--,5,10,5,--,--,--,0,0,--,--
Brazil,105,160,175,195,195,235,290,425,670,645,515,380,365,420,375,270,340,525,825,"1,280","1,185"
Brunei,0,0,0,--,--,--,--,--,--,5,--,--,--,--,--,--,0,0,0,0,0
Bulgaria,25,30,35,40,35,35,35,50,65,50,30,25,25,45,30,30,35,25,30,40,40
Burkina-Faso,--,--,--,--,--,--,5,5,15,10,10,10,10,10,5,5,--,--,0,--,20
Burundi,--,--,0,0,--,--,--,--,5,--,--,--,5,--,0,0,0,0,0,--,--
Cambodia,--,0,--,5,--,--,10,15,20,15,10,10,10,15,10,10,--,10,5,--,20
Cameroon,5,10,10,10,10,10,10,20,20,25,30,25,30,35,40,45,45,40,50,95,140
Cape Verde Islands,0,0,0,0,0,--,0,0,0,0,--,--,0,0,0,0,0,0,0,0,0
Central African Rep.,0,0,0,0,--,0,0,0,--,--,--,0,0,0,0,0,0,--,--,--,--
