,Year,Partner,Trade Value (US$),tempworkers,Distance,continent,gdp_per_capita,Asia,Europe,NorthAmerica,SouthAmerica,Africa,Oceania
0,2002,Afghanistan,232315,0,9984,Asia,1803.987,1,0,0,0,0,0
1,2000,Afghanistan,407676,--,9984,Asia,1803.987,1,0,0,0,0,0
2,2001,Afghanistan,268456,0,9984,Asia,1803.987,1,0,0,0,0,0
3,2003,Afghanistan,442510,0,9984,Asia,1803.987,1,0,0,0,0,0
4,2004,Afghanistan,287891,0,9984,Asia,1803.987,1,0,0,0,0,0
5,2005,Afghanistan,380738,0,9984,Asia,1803.987,1,0,0,0,0,0
6,2006,Afghanistan,696676,--,9984,Asia,1803.987,1,0,0,0,0,0
7,2007,Afghanistan,704414,0,9984,Asia,1803.987,1,0,0,0,0,0
8,2008,Afghanistan,1151680,--,9984,Asia,1803.987,1,0,0,0,0,0
9,2009,Afghanistan,1275711,--,9984,Asia,1803.987,1,0,0,0,0,0
10,2012,Afghanistan,2042044,--,9984,Asia,1803.987,1,0,0,0,0,0
11,2013,Afghanistan,1964002,--,9984,Asia,1803.987,1,0,0,0,0,0
12,2014,Afghanistan,2174539,--,9984,Asia,1803.987,1,0,0,0,0,0
13,2010,Afghanistan,1704472,--,9984,Asia,1803.987,1,0,0,0,0,0
14,2011,Afghanistan,1606242,--,9984,Asia,1803.987,1,0,0,0,0,0
15,2017,Afghanistan,2843253,5,9984,Asia,1803.987,1,0,0,0,0,0
16,2018,Afghanistan,3703752,--,9984,Asia,1803.987,1,0,0,0,0,0
17,2019,Afghanistan,3759837,--,9984,Asia,1803.987,1,0,0,0,0,0
18,2020,Afghanistan,3974563,--,9984,Asia,1803.987,1,0,0,0,0,0
19,2016,Afghanistan,3042894,--,9984,Asia,1803.987,1,0,0,0,0,0
20,2002,Albania,318308,--,8088,Europe,11803.431,0,1,0,0,0,0
21,2000,Albania,102625,--,8088,Europe,11803.431,0,1,0,0,0,0
22,2001,Albania,351065,--,8088,Europe,11803.431,0,1,0,0,0,0
23,2003,Albania,945821,--,8088,Europe,11803.431,0,1,0,0,0,0
24,2004,Albania,2103232,5,8088,Europe,11803.431,0,1,0,0,0,0
25,2005,Albania,1043325,10,8088,Europe,11803.431,0,1,0,0,0,0
26,2006,Albania,1385909,5,8088,Europe,11803.431,0,1,0,0,0,0
27,2007,Albania,1936660,25,8088,Europe,11803.431,0,1,0,0,0,0
28,2008,Albania,3252377,55,8088,Europe,11803.431,0,1,0,0,0,0
29,2009,Albania,3483661,50,8088,Europe,11803.431,0,1,0,0,0,0
30,2012,Albania,5251850,25,8088,Europe,11803.431,0,1,0,0,0,0
31,2013,Albania,6186182,60,8088,Europe,11803.431,0,1,0,0,0,0
32,2014,Albania,6772044,60,8088,Europe,11803.431,0,1,0,0,0,0
33,2010,Albania,5176026,35,8088,Europe,11803.431,0,1,0,0,0,0
34,2011,Albania,6320199,30,8088,Europe,11803.431,0,1,0,0,0,0
35,2017,Albania,9724673,35,8088,Europe,11803.431,0,1,0,0,0,0
36,2018,Albania,9500829,35,8088,Europe,11803.431,0,1,0,0,0,0
37,2019,Albania,10758421,70,8088,Europe,11803.431,0,1,0,0,0,0
38,2020,Albania,7567139,110,8088,Europe,11803.431,0,1,0,0,0,0
39,2016,Albania,6452358,35,8088,Europe,11803.431,0,1,0,0,0,0
40,2002,Algeria,1098958644,15,8475,Africa,13913.839,0,0,0,0,1,0
41,2000,Algeria,838704977,10,8475,Africa,13913.839,0,0,0,0,1,0
42,2001,Algeria,740090651,10,8475,Africa,13913.839,0,0,0,0,1,0
43,2003,Algeria,1716634765,10,8475,Africa,13913.839,0,0,0,0,1,0
44,2004,Algeria,2390975851,10,8475,Africa,13913.839,0,0,0,0,1,0
45,2005,Algeria,3446759214,25,8475,Africa,13913.839,0,0,0,0,1,0
46,2006,Algeria,4373273568,20,8475,Africa,13913.839,0,0,0,0,1,0
47,2007,Algeria,4739388099,25,8475,Africa,13913.839,0,0,0,0,1,0
48,2008,Algeria,7251602848,40,8475,Africa,13913.839,0,0,0,0,1,0
49,2009,Algeria,3310430952,35,8475,Africa,13913.839,0,0,0,0,1,0
50,2012,Algeria,5986446417,30,8475,Africa,13913.839,0,0,0,0,1,0
51,2013,Algeria,3253203143,40,8475,Africa,13913.839,0,0,0,0,1,0
52,2014,Algeria,1211504889,35,8475,Africa,13913.839,0,0,0,0,1,0
53,2010,Algeria,3475393850,30,8475,Africa,13913.839,0,0,0,0,1,0
54,2011,Algeria,5542873836,35,8475,Africa,13913.839,0,0,0,0,1,0
55,2017,Algeria,639251204,10,8475,Africa,13913.839,0,0,0,0,1,0
56,2018,Algeria,208534493,30,8475,Africa,13913.839,0,0,0,0,1,0
57,2019,Algeria,41147530,60,8475,Africa,13913.839,0,0,0,0,1,0
58,2020,Algeria,31229384,100,8475,Africa,13913.839,0,0,0,0,1,0
59,2016,Algeria,1401165868,15,8475,Africa,13913.839,0,0,0,0,1,0
60,2002,Andorra,243193,0,7141,Europe,,0,1,0,0,0,0
61,2001,Andorra,54965,0,7141,Europe,,0,1,0,0,0,0
62,2003,Andorra,184897,0,7141,Europe,,0,1,0,0,0,0
63,2004,Andorra,308741,0,7141,Europe,,0,1,0,0,0,0
64,2005,Andorra,88277,0,7141,Europe,,0,1,0,0,0,0
65,2006,Andorra,168883,0,7141,Europe,,0,1,0,0,0,0
66,2007,Andorra,91834,0,7141,Europe,,0,1,0,0,0,0
67,2008,Andorra,143734,--,7141,Europe,,0,1,0,0,0,0
68,2009,Andorra,172452,0,7141,Europe,,0,1,0,0,0,0
69,2012,Andorra,1317108,0,7141,Europe,,0,1,0,0,0,0
70,2013,Andorra,328969,0,7141,Europe,,0,1,0,0,0,0
71,2014,Andorra,96298,0,7141,Europe,,0,1,0,0,0,0
72,2010,Andorra,438871,0,7141,Europe,,0,1,0,0,0,0
73,2011,Andorra,463811,0,7141,Europe,,0,1,0,0,0,0
74,2017,Andorra,609967,--,7141,Europe,,0,1,0,0,0,0
75,2018,Andorra,433345,0,7141,Europe,,0,1,0,0,0,0
76,2019,Andorra,441871,0,7141,Europe,,0,1,0,0,0,0
77,2020,Andorra,113069,0,7141,Europe,,0,1,0,0,0,0
78,2016,Andorra,359832,0,7141,Europe,,0,1,0,0,0,0
79,2002,Angola,25695,0,13116,Africa,5819.495,0,0,0,0,1,0
80,2000,Angola,28295808,0,13116,Africa,5819.495,0,0,0,0,1,0
81,2001,Angola,25756778,0,13116,Africa,5819.495,0,0,0,0,1,0
82,2003,Angola,34240,0,13116,Africa,5819.495,0,0,0,0,1,0
83,2004,Angola,37661,10,13116,Africa,5819.495,0,0,0,0,1,0
84,2005,Angola,274661091,15,13116,Africa,5819.495,0,0,0,0,1,0
85,2006,Angola,534404069,--,13116,Africa,5819.495,0,0,0,0,1,0
86,2007,Angola,1117813799,--,13116,Africa,5819.495,0,0,0,0,1,0
87,2008,Angola,2607324781,0,13116,Africa,5819.495,0,0,0,0,1,0
88,2009,Angola,1207221890,0,13116,Africa,5819.495,0,0,0,0,1,0
89,2012,Angola,1930696671,--,13116,Africa,5819.495,0,0,0,0,1,0
90,2013,Angola,1507292514,--,13116,Africa,5819.495,0,0,0,0,1,0
91,2014,Angola,1066114772,--,13116,Africa,5819.495,0,0,0,0,1,0
92,2010,Angola,1575913884,--,13116,Africa,5819.495,0,0,0,0,1,0
93,2011,Angola,2469608910,--,13116,Africa,5819.495,0,0,0,0,1,0
94,2017,Angola,130579986,--,13116,Africa,5819.495,0,0,0,0,1,0
95,2018,Angola,537486,--,13116,Africa,5819.495,0,0,0,0,1,0
96,2019,Angola,21182068,--,13116,Africa,5819.495,0,0,0,0,1,0
97,2020,Angola,38576,--,13116,Africa,5819.495,0,0,0,0,1,0
98,2016,Angola,2765426,--,13116,Africa,5819.495,0,0,0,0,1,0
99,2002,Antigua and Barbuda,608365,--,5720,North America,21490.943,0,0,1,0,0,0
100,2000,Antigua and Barbuda,6988036,--,5720,North America,21490.943,0,0,1,0,0,0
101,2001,Antigua and Barbuda,219896,--,5720,North America,21490.943,0,0,1,0,0,0
102,2003,Antigua and Barbuda,535123,--,5720,North America,21490.943,0,0,1,0,0,0
103,2004,Antigua and Barbuda,472153,--,5720,North America,21490.943,0,0,1,0,0,0
104,2005,Antigua and Barbuda,460634,--,5720,North America,21490.943,0,0,1,0,0,0
105,2006,Antigua and Barbuda,353681,5,5720,North America,21490.943,0,0,1,0,0,0
106,2007,Antigua and Barbuda,527551,20,5720,North America,21490.943,0,0,1,0,0,0
107,2008,Antigua and Barbuda,5150324,20,5720,North America,21490.943,0,0,1,0,0,0
108,2009,Antigua and Barbuda,392033,15,5720,North America,21490.943,0,0,1,0,0,0
109,2012,Antigua and Barbuda,1740164,15,5720,North America,21490.943,0,0,1,0,0,0
110,2013,Antigua and Barbuda,605435,15,5720,North America,21490.943,0,0,1,0,0,0
111,2014,Antigua and Barbuda,404947,20,5720,North America,21490.943,0,0,1,0,0,0
112,2010,Antigua and Barbuda,408269,5,5720,North America,21490.943,0,0,1,0,0,0
113,2011,Antigua and Barbuda,418756,15,5720,North America,21490.943,0,0,1,0,0,0
114,2017,Antigua and Barbuda,217273,15,5720,North America,21490.943,0,0,1,0,0,0
