,Year,Partner,Trade Value (US$),tempworkers,continent,gdp_per_capita,Asia,Europe,NorthAmerica,SouthAmerica,Africa,Oceania
0,2002,Afghanistan,1201107,0,Asia,1803.987,1,0,0,0,0,0
1,2003,Afghanistan,6446736,0,Asia,1803.987,1,0,0,0,0,0
2,2004,Afghanistan,7507268,0,Asia,1803.987,1,0,0,0,0,0
3,2000,Afghanistan,107626,--,Asia,1803.987,1,0,0,0,0,0
4,2001,Afghanistan,108144,0,Asia,1803.987,1,0,0,0,0,0
5,2007,Afghanistan,12668465,0,Asia,1803.987,1,0,0,0,0,0
6,2008,Afghanistan,23968865,--,Asia,1803.987,1,0,0,0,0,0
7,2005,Afghanistan,15789013,0,Asia,1803.987,1,0,0,0,0,0
8,2006,Afghanistan,6318328,--,Asia,1803.987,1,0,0,0,0,0
9,2009,Afghanistan,52481532,--,Asia,1803.987,1,0,0,0,0,0
10,2010,Afghanistan,97904111,--,Asia,1803.987,1,0,0,0,0,0
11,2011,Afghanistan,58158798,--,Asia,1803.987,1,0,0,0,0,0
12,2012,Afghanistan,42206164,--,Asia,1803.987,1,0,0,0,0,0
13,2013,Afghanistan,39183431,--,Asia,1803.987,1,0,0,0,0,0
14,2017,Afghanistan,17534302,5,Asia,1803.987,1,0,0,0,0,0
15,2014,Afghanistan,15691022,--,Asia,1803.987,1,0,0,0,0,0
16,2015,Afghanistan,10882265,--,Asia,1803.987,1,0,0,0,0,0
17,2016,Afghanistan,19892820,--,Asia,1803.987,1,0,0,0,0,0
18,2018,Afghanistan,20422877,--,Asia,1803.987,1,0,0,0,0,0
19,2019,Afghanistan,12705430,--,Asia,1803.987,1,0,0,0,0,0
20,2020,Afghanistan,10349718,--,Asia,1803.987,1,0,0,0,0,0
21,2002,Albania,1644796,--,Europe,11803.431,0,1,0,0,0,0
22,2003,Albania,1714199,--,Europe,11803.431,0,1,0,0,0,0
23,2004,Albania,1841176,5,Europe,11803.431,0,1,0,0,0,0
24,2000,Albania,1563368,--,Europe,11803.431,0,1,0,0,0,0
25,2001,Albania,1623637,--,Europe,11803.431,0,1,0,0,0,0
26,2007,Albania,12246065,25,Europe,11803.431,0,1,0,0,0,0
27,2008,Albania,35046263,55,Europe,11803.431,0,1,0,0,0,0
28,2005,Albania,4767202,10,Europe,11803.431,0,1,0,0,0,0
29,2006,Albania,11354300,5,Europe,11803.431,0,1,0,0,0,0
30,2009,Albania,18866069,50,Europe,11803.431,0,1,0,0,0,0
31,2010,Albania,33697884,35,Europe,11803.431,0,1,0,0,0,0
32,2011,Albania,61415923,30,Europe,11803.431,0,1,0,0,0,0
33,2012,Albania,44614605,25,Europe,11803.431,0,1,0,0,0,0
34,2013,Albania,35772834,60,Europe,11803.431,0,1,0,0,0,0
35,2017,Albania,18673077,35,Europe,11803.431,0,1,0,0,0,0
36,2014,Albania,43910123,60,Europe,11803.431,0,1,0,0,0,0
37,2015,Albania,28396595,40,Europe,11803.431,0,1,0,0,0,0
38,2016,Albania,12016134,35,Europe,11803.431,0,1,0,0,0,0
39,2018,Albania,30326824,35,Europe,11803.431,0,1,0,0,0,0
40,2019,Albania,40950198,70,Europe,11803.431,0,1,0,0,0,0
41,2020,Albania,36114872,110,Europe,11803.431,0,1,0,0,0,0
42,2002,Algeria,282332280,15,Africa,13913.839,0,0,0,0,1,0
43,2003,Algeria,249376522,10,Africa,13913.839,0,0,0,0,1,0
44,2004,Algeria,218651386,10,Africa,13913.839,0,0,0,0,1,0
45,2000,Algeria,332135680,10,Africa,13913.839,0,0,0,0,1,0
46,2001,Algeria,191938663,10,Africa,13913.839,0,0,0,0,1,0
47,2007,Algeria,471264703,25,Africa,13913.839,0,0,0,0,1,0
48,2008,Algeria,830567599,40,Africa,13913.839,0,0,0,0,1,0
49,2005,Algeria,189284154,25,Africa,13913.839,0,0,0,0,1,0
50,2006,Algeria,223913339,20,Africa,13913.839,0,0,0,0,1,0
51,2009,Algeria,306680619,35,Africa,13913.839,0,0,0,0,1,0
52,2010,Algeria,290349485,30,Africa,13913.839,0,0,0,0,1,0
53,2011,Algeria,250686634,35,Africa,13913.839,0,0,0,0,1,0
54,2012,Algeria,420134685,30,Africa,13913.839,0,0,0,0,1,0
55,2013,Algeria,358678438,40,Africa,13913.839,0,0,0,0,1,0
56,2017,Algeria,542595383,10,Africa,13913.839,0,0,0,0,1,0
57,2014,Algeria,413465725,35,Africa,13913.839,0,0,0,0,1,0
58,2015,Algeria,468756828,15,Africa,13913.839,0,0,0,0,1,0
59,2016,Algeria,391136091,15,Africa,13913.839,0,0,0,0,1,0
60,2018,Algeria,392279495,30,Africa,13913.839,0,0,0,0,1,0
61,2019,Algeria,515316086,60,Africa,13913.839,0,0,0,0,1,0
62,2020,Algeria,459721408,100,Africa,13913.839,0,0,0,0,1,0
63,2002,Andorra,94609,0,Europe,,0,1,0,0,0,0
64,2003,Andorra,147514,0,Europe,,0,1,0,0,0,0
65,2004,Andorra,53749,0,Europe,,0,1,0,0,0,0
66,2001,Andorra,111339,0,Europe,,0,1,0,0,0,0
67,2007,Andorra,219902,0,Europe,,0,1,0,0,0,0
68,2008,Andorra,152439,--,Europe,,0,1,0,0,0,0
69,2005,Andorra,101997,0,Europe,,0,1,0,0,0,0
70,2006,Andorra,103377,0,Europe,,0,1,0,0,0,0
71,2009,Andorra,100335,0,Europe,,0,1,0,0,0,0
72,2010,Andorra,85887,0,Europe,,0,1,0,0,0,0
73,2011,Andorra,107718,0,Europe,,0,1,0,0,0,0
74,2012,Andorra,149281,0,Europe,,0,1,0,0,0,0
75,2013,Andorra,25507,0,Europe,,0,1,0,0,0,0
76,2017,Andorra,145528,--,Europe,,0,1,0,0,0,0
77,2014,Andorra,259348,0,Europe,,0,1,0,0,0,0
78,2015,Andorra,186922,0,Europe,,0,1,0,0,0,0
79,2016,Andorra,124509,0,Europe,,0,1,0,0,0,0
80,2018,Andorra,143793,0,Europe,,0,1,0,0,0,0
81,2019,Andorra,243163,0,Europe,,0,1,0,0,0,0
82,2020,Andorra,560941,0,Europe,,0,1,0,0,0,0
83,2002,Angola,4338893,0,Africa,5819.495,0,0,0,0,1,0
84,2003,Angola,19239724,0,Africa,5819.495,0,0,0,0,1,0
85,2004,Angola,17826877,10,Africa,5819.495,0,0,0,0,1,0
86,2000,Angola,4748545,0,Africa,5819.495,0,0,0,0,1,0
87,2001,Angola,2969010,0,Africa,5819.495,0,0,0,0,1,0
88,2007,Angola,76938731,--,Africa,5819.495,0,0,0,0,1,0
89,2008,Angola,126301462,0,Africa,5819.495,0,0,0,0,1,0
90,2005,Angola,61262582,15,Africa,5819.495,0,0,0,0,1,0
91,2006,Angola,53533884,--,Africa,5819.495,0,0,0,0,1,0
92,2009,Angola,71594862,0,Africa,5819.495,0,0,0,0,1,0
93,2010,Angola,189390254,--,Africa,5819.495,0,0,0,0,1,0
94,2011,Angola,124404907,--,Africa,5819.495,0,0,0,0,1,0
95,2012,Angola,109182539,--,Africa,5819.495,0,0,0,0,1,0
96,2013,Angola,77075755,--,Africa,5819.495,0,0,0,0,1,0
97,2017,Angola,62378670,--,Africa,5819.495,0,0,0,0,1,0
98,2014,Angola,75243570,--,Africa,5819.495,0,0,0,0,1,0
99,2015,Angola,54494152,0,Africa,5819.495,0,0,0,0,1,0
100,2016,Angola,40716586,--,Africa,5819.495,0,0,0,0,1,0
101,2018,Angola,50631706,--,Africa,5819.495,0,0,0,0,1,0
102,2019,Angola,46407556,--,Africa,5819.495,0,0,0,0,1,0
103,2020,Angola,105445656,--,Africa,5819.495,0,0,0,0,1,0
104,2002,Antigua and Barbuda,5739969,--,North America,21490.943,0,0,1,0,0,0
105,2003,Antigua and Barbuda,13103819,--,North America,21490.943,0,0,1,0,0,0
106,2004,Antigua and Barbuda,13068724,--,North America,21490.943,0,0,1,0,0,0
107,2000,Antigua and Barbuda,7220585,--,North America,21490.943,0,0,1,0,0,0
108,2001,Antigua and Barbuda,6887051,--,North America,21490.943,0,0,1,0,0,0
109,2007,Antigua and Barbuda,17840216,20,North America,21490.943,0,0,1,0,0,0
110,2008,Antigua and Barbuda,21217796,20,North America,21490.943,0,0,1,0,0,0
111,2005,Antigua and Barbuda,15326863,--,North America,21490.943,0,0,1,0,0,0
112,2006,Antigua and Barbuda,62224592,5,North America,21490.943,0,0,1,0,0,0
113,2009,Antigua and Barbuda,18580901,15,North America,21490.943,0,0,1,0,0,0
114,2010,Antigua and Barbuda,19511749,5,North America,21490.943,0,0,1,0,0,0
115,2011,Antigua and Barbuda,10336541,15,North America,21490.943,0,0,1,0,0,0
116,2012,Antigua and Barbuda,18985237,15,North America,21490.943,0,0,1,0,0,0
117,2013,Antigua and Barbuda,15496017,15,North America,21490.943,0,0,1,0,0,0
118,2017,Antigua and Barbuda,7413594,15,North America,21490.943,0,0,1,0,0,0
119,2014,Antigua and Barbuda,10348863,20,North America,21490.943,0,0,1,0,0,0
120,2015,Antigua and Barbuda,8318235,20,North America,21490.943,0,0,1,0,0,0
121,2016,Antigua and Barbuda,7243262,10,North America,21490.943,0,0,1,0,0,0
122,2018,Antigua and Barbuda,10674603,15,North America,21490.943,0,0,1,0,0,0
123,2019,Antigua and Barbuda,15967908,10,North America,21490.943,0,0,1,0,0,0
124,2020,Antigua and Barbuda,7326665,20,North America,21490.943,0,0,1,0,0,0
125,2002,Azerbaijan,2215551,0,Asia,15847.419,1,0,0,0,0,0
126,2003,Azerbaijan,20543551,0,Asia,15847.419,1,0,0,0,0,0
127,2004,Azerbaijan,9862683,0,Asia,15847.419,1,0,0,0,0,0
128,2000,Azerbaijan,2490332,--,Asia,15847.419,1,0,0,0,0,0
129,2001,Azerbaijan,2636800,--,Asia,15847.419,1,0,0,0,0,0
130,2007,Azerbaijan,29650771,0,Asia,15847.419,1,0,0,0,0,0
131,2008,Azerbaijan,18609623,--,Asia,15847.419,1,0,0,0,0,0
132,2005,Azerbaijan,15319519,--,Asia,15847.419,1,0,0,0,0,0
133,2006,Azerbaijan,18687701,--,Asia,15847.419,1,0,0,0,0,0
134,2009,Azerbaijan,27264470,--,Asia,15847.419,1,0,0,0,0,0
135,2010,Azerbaijan,19357212,--,Asia,15847.419,1,0,0,0,0,0
136,2011,Azerbaijan,13579347,--,Asia,15847.419,1,0,0,0,0,0
137,2012,Azerbaijan,40655417,--,Asia,15847.419,1,0,0,0,0,0
138,2013,Azerbaijan,30549340,5,Asia,15847.419,1,0,0,0,0,0
139,2017,Azerbaijan,11087624,--,Asia,15847.419,1,0,0,0,0,0
140,2014,Azerbaijan,37149299,5,Asia,15847.419,1,0,0,0,0,0
141,2015,Azerbaijan,11167054,5,Asia,15847.419,1,0,0,0,0,0
142,2016,Azerbaijan,9799179,--,Asia,15847.419,1,0,0,0,0,0
143,2018,Azerbaijan,8837849,5,Asia,15847.419,1,0,0,0,0,0
144,2019,Azerbaijan,8006671,10,Asia,15847.419,1,0,0,0,0,0
145,2020,Azerbaijan,5825173,10,Asia,15847.419,1,0,0,0,0,0
146,2002,Argentina,27959805,130,South America,18933.907,0,0,0,1,0,0
147,2003,Argentina,55726582,155,South America,18933.907,0,0,0,1,0,0
148,2004,Argentina,98745578,135,South America,18933.907,0,0,0,1,0,0
149,2000,Argentina,163774742,55,South America,18933.907,0,0,0,1,0,0
150,2001,Argentina,86217405,90,South America,18933.907,0,0,0,1,0,0
151,2007,Argentina,237542818,145,South America,18933.907,0,0,0,1,0,0
152,2008,Argentina,251343854,160,South America,18933.907,0,0,0,1,0,0
153,2005,Argentina,144029551,120,South America,18933.907,0,0,0,1,0,0
154,2006,Argentina,169556041,135,South America,18933.907,0,0,0,1,0,0
155,2009,Argentina,153071554,120,South America,18933.907,0,0,0,1,0,0
156,2010,Argentina,275804849,90,South America,18933.907,0,0,0,1,0,0
157,2011,Argentina,500168538,70,South America,18933.907,0,0,0,1,0,0
158,2012,Argentina,298238362,80,South America,18933.907,0,0,0,1,0,0
159,2013,Argentina,283426094,80,South America,18933.907,0,0,0,1,0,0
160,2017,Argentina,343455242,80,South America,18933.907,0,0,0,1,0,0
161,2014,Argentina,220672472,75,South America,18933.907,0,0,0,1,0,0
162,2015,Argentina,242790023,55,South America,18933.907,0,0,0,1,0,0
163,2016,Argentina,232110196,65,South America,18933.907,0,0,0,1,0,0
164,2018,Argentina,253220454,95,South America,18933.907,0,0,0,1,0,0
165,2019,Argentina,215099290,110,South America,18933.907,0,0,0,1,0,0
166,2020,Argentina,180115827,95,South America,18933.907,0,0,0,1,0,0
